Anime,Genre,Rating
Naruto,"Action, Adventure, Ninja",8.2
One Piece,"Action, Adventure, Pirate",8.8
Attack on Titan,"Action, Fantasy, Titan",9.0
Death Note,"Thriller, Mystery, Supernatural",9.1
Dragon Ball Z,"Action, Martial Arts, Adventure",8.7
Demon Slayer,"Action, Supernatural, Demon",8.9
Jujutsu Kaisen,"Action, Supernatural, Curse",8.6
Bleach,"Action, Soul Reaper, Fantasy",8.1
Fullmetal Alchemist,"Action, Adventure, Brotherhood",9.0
My Hero Academia,"Action, Hero, Superpower",8.4
Tokyo Ghoul,"Horror, Action, Dark Fantasy",7.9
Sword Art Online,"Adventure, Game, Fantasy",7.8
Black Clover,"Magic, Adventure, Fantasy",8.2
Haikyuu!!,"Sports, Comedy, Volleyball",8.5
Fairy Tail,"Magic, Adventure, Friendship",7.9
Hunter x Hunter,"Action, Adventure, Hunter",9.1
One Punch Man,"Comedy, Superhero, Action",8.5
Chainsaw Man,"Action, Dark Fantasy, Horror",8.6
Re:Zero,"Fantasy, Drama, Isekai",8.3
Steins;Gate,"Sci-Fi, Thriller, Time Travel",9.1
Code Geass,"Action, Mecha, Strategy",9.0
Mob Psycho 100,"Action, Comedy, Supernatural",8.7
Dr. Stone,"Sci-Fi, Adventure, Discovery",8.5
Spy x Family,"Comedy, Spy, Family",8.9
Blue Lock,"Sports, Football, Action",8.3
A Silent Voice,"Romance, Drama, School",8.9
Your Name,"Romance, Drama, Supernatural",9.2
Erased,"Mystery, Thriller, Time Travel",8.8
Vinland Saga,"Action, Adventure, Viking",8.9
Naruto Shippuden,"Action, Adventure, Ninja",8.4
